Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
cze,Czech Republic,4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,-,5.2,4.9,4.6,4.37,49,48,51,56
cze,Czech Republik,-,-,-,-,-,-,-,-,-,5.2,-,-,-,-,-,-,-,-
cod,Democratic Republic of Congo,-,-,-,-,-,-,-,-,-,-,-,1.9,2,-,-,-,-,-
cod,Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,22,22,22
cod,Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,2.02,-,-,-,-
dnk,Denmark,10,10,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,90,91,92,91
dji,Djibouti,-,-,-,-,-,-,-,-,-,2.9,3,2.8,3.2,2.98,36,36,34,34
dom,Dominica,-,-,-,-,-,-,-,-,4.5,5.6,6,5.9,5.2,5.17,58,58,58,-
dom,Dominican Rep,-,-,-,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dom,Dominican Rep.,-,-,-,-,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-
dom,Dominican Republic,-,-,-,-,-,3.3,2.9,3,2.8,3,3,3,3,2.59,32,29,32,33
ecu,Ecuador,2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2,2.2,2.5,2.65,32,35,33,32
egy,Egypt,2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32,32,37,36
slv,El Salvador,3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4,4,3.9,3.4,3.6,3.42,38,38,39,39
gnq,Equatorial Guinea,-,-,-,-,-,-,-,1.9,2.1,1.9,1.7,1.8,1.9,1.91,20,19,-,-
eri,Eritrea,-,-,-,-,-,-,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25,20,18,18
est,Estonia,5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69,70
eth,Ethiopia,-,-,3.2,-,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,33,33,33,33
fji,Fiji,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
fin,Finland,9.6,9.8,10,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9,8.9,9.2,9.4,90,89,89,90
fra,France,6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,71,71,69,70
mkd,FYR Macedonia,-,-,-,-,-,-,-,-,-,3.3,-,3.8,4.1,3.94,-,-,-,-
gab,Gabon,-,-,-,-,-,-,3.3,2.9,3,3.3,3.1,2.9,2.8,2.98,35,34,37,34
gmb,Gambia,-,-,-,-,-,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,34,28,29,28
geo,Georgia,-,2.3,-,-,2.4,1.8,2,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52,49,52,52
deu,Germany,7.9,8,7.6,7.4,7.3,7.7,8.2,8.2,8,7.8,7.9,8,7.9,8.05,79,78,79,81
gha,Ghana,3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,45,46,48,47
grc,Greece,4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,36,40,43,46
grd,Grenada,-,-,-,-,-,-,-,-,3.5,3.4,-,-,-,-,-,-,-,-
gtm,Guatemala,3.1,3.2,-,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,33,29,32,28
gin,Guinea,-,-,-,-,-,-,-,-,1.9,1.9,1.6,1.8,2,2.11,24,24,25,25
gnb,Guinea-Bissau,-,-,-,-,-,-,-,-,-,2.2,1.9,1.9,2.1,2.2,25,19,19,17
guy,Guyana,-,-,-,-,-,-,-,2.5,2.5,2.6,2.6,2.6,2.7,2.49,28,27,30,29
